time_s,ecg_sample
1.074000,-5203
1.076000,-6640
1.078000,-7901
1.080000,-9007
1.082000,-9978
1.084000,-10833
1.086000,-11589
1.088000,-12260
1.090000,-12861
1.092000,-13402
1.094000,-13894
1.096000,-14345
1.098000,-14764
1.100000,-15156
1.102000,-15527
1.104000,-15880
1.106000,-16220
1.108000,-16549
1.110000,-16869
1.112000,-17182
1.114000,-17491
1.116000,-17794
1.118000,-18095
1.120000,-18393
1.122000,-18688
1.124000,-18982
1.126000,-19275
1.128000,-19565
1.130000,-19855
1.132000,-20144
1.134000,-20431
1.136000,-20718
1.138000,-21004
1.140000,-21289
1.142000,-21573
1.144000,-21856
1.146000,-22138
1.148000,-22419
1.150000,-22700
1.152000,-22979
1.154000,-23258
1.156000,-23537
1.158000,-23816
1.160000,-24095
1.162000,-24378
1.164000,-24668
1.166000,-24972
1.168000,-25301
1.170000,-25673
1.172000,-26120
1.174000,-26688
1.176000,-27445
1.178000,-28491
1.180000,-29957
1.182000,-32015
1.184000,-34874
1.186000,-38772
1.188000,-43958
1.190000,-50655
1.192000,-59018
1.194000,-69066
1.196000,-80600
1.198000,-93110
1.200000,-105670
1.202000,-116831
1.204000,-124529
1.206000,-126021
1.208000,-117909
1.210000,-96270
1.212000,-56982
1.214000,3744
1.216000,88614
1.218000,198353
1.220000,330839
1.222000,480471
1.224000,638061
1.226000,791414
1.228000,926669
1.230000,1030228
1.232000,1090922
1.234000,1101927
1.236000,1061956
1.238000,975439
1.240000,851632
1.242000,702905
1.244000,542644
1.246000,383252
1.248000,234672
1.250000,103634
1.252000,-6379
1.254000,-94617
1.256000,-162256
1.258000,-211566
1.260000,-245214
1.262000,-265806
1.264000,-275660
1.266000,-276751
1.268000,-270761
1.270000,-259172
1.272000,-243333
1.274000,-224507
1.276000,-203878
1.278000,-182527
1.280000,-161402
1.282000,-141288
1.284000,-122775
1.286000,-106262
1.288000,-91959
1.290000,-79912
1.292000,-70037
1.294000,-62151
1.296000,-56015
1.298000,-51361
1.300000,-47921
1.302000,-45441
1.304000,-43700
1.306000,-42509
1.308000,-41715
1.310000,-41198
1.312000,-40868
1.314000,-40658
1.316000,-40520
1.318000,-40421
1.320000,-40338
1.322000,-40255
1.324000,-40162
1.326000,-40050
1.328000,-39916
1.330000,-39754
1.332000,-39561
1.334000,-39335
1.336000,-39071
1.338000,-38768
1.340000,-38422
1.342000,-38031
1.344000,-37591
1.346000,-37098
1.348000,-36550
1.350000,-35942
1.352000,-35272
1.354000,-34534
1.356000,-33725
1.358000,-32842
1.360000,-31878
1.362000,-30831
1.364000,-29695
1.366000,-28466
1.368000,-27140
1.370000,-25711
1.372000,-24174
1.374000,-22526
1.376000,-20760
1.378000,-18873
1.380000,-16859
1.382000,-14713
1.384000,-12431
1.386000,-10008
1.388000,-7440
1.390000,-4723
1.392000,-1852
1.394000,1176
1.396000,4365
1.398000,7718
1.400000,11238
1.402000,14928
1.404000,18789
1.406000,22824
1.408000,27033
1.410000,31418
1.412000,35978
1.414000,40713
1.416000,45622
1.418000,50702
1.420000,55953
1.422000,61370
1.424000,66949
1.426000,72687
1.428000,78577
1.430000,84614
1.432000,90791
1.434000,97099
1.436000,103530
1.438000,110076
1.440000,116725
1.442000,123467
1.444000,130290
1.446000,137182
1.448000,144130
1.450000,151120
1.452000,158136
1.454000,165166
1.456000,172191
1.458000,179198
1.460000,186168
1.462000,193085
1.464000,199932
1.466000,206690
1.468000,213344
1.470000,219873
1.472000,226262
1.474000,232491
1.476000,238543
1.478000,244401
1.480000,250048
1.482000,255465
1.484000,260639
1.486000,265551
1.488000,270188
1.490000,274535
1.492000,278577
1.494000,282303
1.496000,285700
1.498000,288757
1.500000,291464
1.502000,293813
1.504000,295795
1.506000,297404
1.508000,298636
1.510000,299485
1.512000,299949
1.514000,300027
1.516000,299718
1.518000,299023
1.520000,297945
1.522000,296487
1.524000,294655
1.526000,292454
1.528000,289891
1.530000,286976
1.532000,283718
1.534000,280126
1.536000,276214
1.538000,271994
1.540000,267479
1.542000,262682
1.544000,257621
1.546000,252309
1.548000,246763
1.550000,241000
1.552000,235036
1.554000,228890
1.556000,222579
1.558000,216121
1.560000,209533
1.562000,202833
1.564000,196040
1.566000,189170
1.568000,182241
1.570000,175271
1.572000,168276
1.574000,161272
1.576000,154275
1.578000,147301
1.580000,140363
1.582000,133477
1.584000,126655
1.586000,119910
1.588000,113254
1.590000,106699
1.592000,100254
1.594000,93929
1.596000,87733
1.598000,81674
1.600000,75760
1.602000,69996
1.604000,64388
1.606000,58942
1.608000,53661
1.610000,48548
1.612000,43607
1.614000,38839
1.616000,34246
1.618000,29828
1.620000,25585
1.622000,21517
1.624000,17622
1.626000,13900
1.628000,10348
1.630000,6965
1.632000,3746
1.634000,689
1.636000,-2209
1.638000,-4953
1.640000,-7546
1.642000,-9992
1.644000,-12296
1.646000,-14463
1.648000,-16496
1.650000,-18402
1.652000,-20184
1.654000,-21847
1.656000,-23396
1.658000,-24837
1.660000,-26173
1.662000,-27411
1.664000,-28553
1.666000,-29606
1.668000,-43196
1.670000,-43037
1.672000,-42876
1.674000,-42714
1.676000,-42550
1.678000,-42384
1.680000,-42216
1.682000,-42047
1.684000,-41876
1.686000,-41704
1.688000,-41530
1.690000,-41354
1.692000,-41177
1.694000,-40998
1.696000,-40817
1.698000,-40635
1.700000,-40451
1.702000,-40265
1.704000,-40078
1.706000,-39890
1.708000,-39699
1.710000,-39508
1.712000,-39314
1.714000,-39119
1.716000,-38923
1.718000,-38725
1.720000,-38525
1.722000,-38324
1.724000,-38121
1.726000,-37917
1.728000,-37711
1.730000,-37503
1.732000,-37294
1.734000,-37082
1.736000,-36869
1.738000,-36653
1.740000,-36435
1.742000,-36214
1.744000,-35989
1.746000,-35761
1.748000,-35527
1.750000,-35287
1.752000,-35040
1.754000,-34784
1.756000,-34516
1.758000,-34233
1.760000,-33933
1.762000,-33610
1.764000,-33260
1.766000,-32876
1.768000,-32451
1.770000,-31977
1.772000,-31442
1.774000,-30836
1.776000,-30144
1.778000,-29352
1.780000,-28443
1.782000,-27399
1.784000,-26199
1.786000,-24823
1.788000,-23248
1.790000,-21451
1.792000,-19409
1.794000,-17101
1.796000,-14504
1.798000,-11600
1.800000,-8374
1.802000,-4812
1.804000,-909
1.806000,3338
1.808000,7921
1.810000,12829
1.812000,18038
1.814000,23519
1.816000,29231
1.818000,35126
1.820000,41147
1.822000,47229
1.824000,53298
1.826000,59277
1.828000,65085
1.830000,70636
1.832000,75847
1.834000,80636
1.836000,84923
1.838000,88639
1.840000,91721
1.842000,94116
1.844000,95784
1.846000,96700
1.848000,96850
1.850000,96239
1.852000,94881
1.854000,92809
1.856000,90066
1.858000,86709
1.860000,82802
1.862000,78421
1.864000,73643
1.866000,68553
1.868000,63234
1.870000,57771
1.872000,52245
1.874000,46731
1.876000,41299
1.878000,36013
1.880000,30927
1.882000,26087
1.884000,21528
1.886000,17280
1.888000,13360
1.890000,9779
1.892000,6542
1.894000,3644
1.896000,1077
1.898000,-1173
1.900000,-3122
1.902000,-4791
1.904000,-6200
1.906000,-7373
1.908000,-8333
1.910000,-9101
1.912000,-9701
1.914000,-10154
1.916000,-10477
1.918000,-10691
1.920000,-10810
1.922000,-10849
1.924000,-10822
1.926000,-10739
1.928000,-10610
1.930000,-10443
1.932000,-10246
1.934000,-10024
1.936000,-9783
1.938000,-9526
1.940000,-9256
1.942000,-8977
1.944000,-8690
1.946000,-8397
1.948000,-8099
1.950000,-7798
1.952000,-7495
1.954000,-7189
1.956000,-6881
1.958000,-6572
1.960000,-6263
1.962000,-5952
1.964000,-5641
1.966000,-5329
1.968000,-5017
1.970000,-4705
1.972000,-4392
1.974000,-4079
1.976000,-3766
1.978000,-3453
1.980000,-3139
1.982000,-2826
1.984000,-2512
1.986000,-2199
1.988000,-1885
1.990000,-1573
1.992000,-1261
1.994000,-952
1.996000,-648
1.998000,-354
